video,class,actual,prediction,confidence,above_threshold,result_type
Scenes 021-040__323A-1_20230816000111901.mp4,Sylvie's Armor,1.0,0,0.0,False,FN
Scenes 001-020__507-1ng_20230816050923979.mp4,Classic Loki Armor,1.0,0,0.0,False,FN
Scenes 001-020__220C-2-_20230815190657799.mp4,TemPad,1.0,0,0.0,False,FN
Scenes 041-060__254B-3-_20230815193228103.mp4,TVA Uniform,1.0,0,0.0,False,FN
Scenes 041-060__238B-1-_20230815193151869.mp4,TVA Uniform,1.0,0,0.0,False,FN
Scenes 001-020__302-2_20230815200213180.mp4,TVA Uniform,1.0,0,0.0,False,FN
