scene_id,start_frame,end_frame,start_time_sec,end_time_sec
1,0,24,0.000,1.000
2,24,40,1.000,1.667
3,40,57,1.667,2.375
4,57,72,2.375,3.000
5,72,83,3.000,3.458
6,83,115,3.458,4.792
7,115,133,4.792,5.542
8,133,158,5.542,6.583
9,158,179,6.583,7.458
10,179,187,7.458,7.792
