iteration,timestamp,f1_score,precision,recall,tp,fp,fn,tn,exclusions_added_this_iteration,training_data_size,evaluation_samples
1,2025-05-30T01:21:41.426571,0.5066666666666667,0.4634146341463415,0.5588235294117647,76,88,60,1594,88,180,1818
2,2025-05-30T01:22:00.163475,0.5799256505576208,0.5864661654135338,0.5735294117647058,78,55,58,1627,55,235,1818
