scene_id,start_frame,end_frame,start_time_sec,end_time_sec
1,0,14,0.000,0.583
2,14,44,0.583,1.833
3,44,64,1.833,2.667
4,64,86,2.667,3.583
5,86,104,3.583,4.333
6,104,127,4.333,5.292
7,127,149,5.292,6.208
8,149,176,6.208,7.333
9,176,193,7.333,8.042
10,193,212,8.042,8.833
11,212,228,8.833,9.500
12,228,245,9.500,10.208
13,245,267,10.208,11.125
