class,exclusion_count,percentage
not_Aligator Loki Plushie,4,8.33
not_Loki's dagger,4,8.33
not_Loki's Variant uniform,4,8.33
not_Ravonna Renslayer's Uniform,4,8.33
not_TemPad,4,8.33
not_TVA Collar,4,8.33
not_Sylvie's machete,4,8.33
not_TimeSpear,4,8.33
not_TVA Prisoner Uniform,4,8.33
not_Loki's Armor,3,6.25
not_Sylvie's horned headpiece,3,6.25
not_Time Stick,2,4.17
not_Boastful Loki Armor,2,4.17
not_Sylvie's Armor,1,2.08
not_TVA Monitor,1,2.08
