iteration,eval_mode,f1,precision,recall,tp,fp,fn,tn,eval_samples,exclusions
1,clean_video_level,0.506667,0.463415,0.558824,76,88,60,1594,1818,56
2,clean_video_level,0.620155,0.677966,0.571429,40,19,30,1063,1152,72
