frame,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
157,549.36,13.51,3.46,False,False,True
158,549.99,13.54,3.46,False,False,True
159,546.30,13.95,3.57,False,False,True
160,554.06,13.50,3.47,False,False,True
161,548.77,13.40,3.43,False,False,True
162,559.20,13.40,3.44,False,False,True
163,545.96,13.31,3.42,False,False,True
164,558.29,13.38,3.43,False,False,True
165,558.34,13.42,3.44,False,False,True
166,555.22,13.48,3.45,False,False,True
167,542.40,13.52,3.44,False,False,True
168,555.81,13.74,3.47,False,False,True
169,557.07,13.89,3.48,False,False,True
170,553.16,13.98,3.49,False,False,True
171,559.70,14.10,3.51,False,False,True
172,561.59,14.17,3.51,False,False,True
173,556.49,14.13,3.50,False,False,True
174,566.86,14.11,3.51,False,False,True
175,560.69,14.06,3.49,False,False,True
176,548.41,14.05,3.48,False,False,True
177,536.67,14.02,3.47,True,False,True
178,549.29,14.14,3.49,False,False,True
179,549.56,14.18,3.49,False,False,True
180,541.20,13.91,3.46,False,False,True
181,544.26,13.92,3.46,False,False,True
182,543.76,13.89,3.46,False,False,True
183,539.48,13.85,3.45,False,False,True
184,549.67,13.90,3.47,False,False,True
185,544.26,13.84,3.45,False,False,True
186,593.93,16.82,4.26,False,False,True
187,574.08,16.24,4.19,False,False,True
188,590.64,13.93,3.54,False,False,True
189,550.14,13.38,3.40,False,False,True
190,545.51,13.40,3.40,False,False,True
191,582.90,16.61,4.26,False,False,True
192,571.62,16.45,4.29,False,False,True
193,596.89,14.14,3.61,False,False,True
194,540.96,13.28,3.41,False,False,True
195,547.86,13.35,3.41,False,False,True
196,591.58,16.38,4.16,False,False,True
197,570.49,13.88,3.52,False,False,True
198,554.05,14.06,3.54,False,False,True
199,547.78,13.91,3.50,False,False,True
200,580.54,15.89,4.16,False,False,True
201,523.84,13.84,3.48,True,True,True
202,580.86,14.76,3.73,False,False,True
203,550.51,14.36,3.62,False,False,True
204,534.50,13.84,3.49,True,False,True
205,574.19,15.84,4.01,False,False,True
206,545.19,14.38,3.60,False,False,True
207,540.35,14.26,3.59,False,False,True
208,550.07,14.31,3.60,False,False,True
209,516.83,13.80,3.48,True,True,True
210,547.40,13.94,3.51,False,False,True
211,577.63,16.61,4.17,False,False,True
212,546.93,14.02,3.54,False,False,True
213,547.10,14.00,3.53,False,False,True
214,543.50,13.96,3.54,False,False,True
215,575.50,16.71,4.29,False,False,True
216,572.96,18.16,5.05,False,False,True
217,512.45,13.59,3.56,True,True,True
218,575.07,16.15,4.19,False,False,True
219,527.26,13.73,3.57,True,True,True
220,558.18,15.92,4.17,False,False,True
221,522.72,13.87,3.59,True,True,True
222,566.97,14.60,3.78,False,False,True
223,527.72,14.07,3.64,True,True,True
224,533.84,14.15,3.65,True,False,True
225,522.12,14.13,3.64,True,True,True
226,535.80,14.46,3.73,True,False,True
227,535.50,14.59,3.74,True,False,True
228,531.73,14.82,3.81,True,False,True
229,540.37,15.36,4.01,False,False,True
230,534.31,14.77,3.78,True,False,True
231,530.28,14.77,3.77,True,False,True
232,541.30,15.04,3.83,False,False,True
233,540.78,15.35,3.92,False,False,True
234,551.00,15.66,3.99,False,False,True
235,536.11,15.32,3.87,True,False,True
236,548.16,15.36,3.88,False,False,True
237,608.01,19.52,5.36,False,False,True
238,589.52,16.08,4.08,False,False,True
239,554.67,15.68,3.95,False,False,True
240,565.87,15.71,3.95,False,False,True
241,564.78,15.68,3.95,False,False,True
