class,exclusion_count,percentage
not_TemPad,16,18.18
not_Sylvie's machete,12,13.64
not_TVA Prisoner Uniform,11,12.5
not_TimeSpear,9,10.23
not_Aligator Loki Plushie,7,7.95
not_Loki's Variant uniform,6,6.82
not_TVA Collar,6,6.82
not_Ravonna Renslayer's Uniform,5,5.68
not_Loki's Armor,3,3.41
not_Sylvie's horned headpiece,3,3.41
not_Time Stick,3,3.41
not_Loki's dagger,3,3.41
not_Boastful Loki Armor,2,2.27
not_TVA Monitor,1,1.14
not_Sylvie's Armor,1,1.14
