frame,laplacian,tenengrad,fft,is_blurry
198,554.05,14.06,3.54,True
199,547.78,13.91,3.50,True
200,580.54,15.89,4.16,True
201,523.84,13.84,3.48,True
202,580.86,14.76,3.73,True
203,550.51,14.36,3.62,True
204,534.50,13.84,3.49,True
205,574.19,15.84,4.01,True
206,545.19,14.38,3.60,True
207,540.35,14.26,3.59,True
208,550.07,14.31,3.60,True
209,516.83,13.80,3.48,True
210,547.40,13.94,3.51,True
211,577.63,16.61,4.17,True
212,546.93,14.02,3.54,True
213,547.10,14.00,3.53,True
214,543.50,13.96,3.54,True
215,575.50,16.71,4.29,True
216,572.96,18.16,5.05,True
217,512.45,13.59,3.56,True
218,575.07,16.15,4.19,True
219,527.26,13.73,3.57,True
220,558.18,15.92,4.17,True
221,522.72,13.87,3.59,True
222,566.97,14.60,3.78,True
223,527.72,14.07,3.64,True
224,533.84,14.15,3.65,True
225,522.12,14.13,3.64,True
226,535.80,14.46,3.73,True
227,535.50,14.59,3.74,True
228,531.73,14.82,3.81,True
229,540.37,15.36,4.01,True
230,534.31,14.77,3.78,True
231,530.28,14.77,3.77,True
232,541.30,15.04,3.83,True
233,540.78,15.35,3.92,True
234,551.00,15.66,3.99,True
235,536.11,15.32,3.87,True
236,548.16,15.36,3.88,True
237,608.01,19.52,5.36,True
238,589.52,16.08,4.08,True
239,554.67,15.68,3.95,True
240,565.87,15.71,3.95,True
241,564.78,15.68,3.95,True
242,605.35,18.35,4.79,True
243,565.19,15.73,3.98,True
244,564.19,15.68,3.95,True
245,616.26,19.05,5.10,True
246,568.85,15.67,3.95,True
247,562.92,15.63,3.93,True
248,551.09,15.71,3.97,True
249,539.02,15.57,3.90,True
250,597.25,19.15,4.95,True
251,549.86,15.53,3.88,True
252,540.74,15.67,3.94,True
253,543.49,15.65,3.93,True
254,523.01,15.04,3.78,True
255,578.91,17.67,4.44,True
256,529.25,15.09,3.78,True
257,525.13,15.08,3.77,True
258,598.99,18.24,4.62,True
259,524.11,14.65,3.67,True
260,547.57,14.72,3.69,True
261,547.22,14.74,3.69,True
262,546.59,14.78,3.73,True
263,530.78,14.41,3.62,True
264,544.62,14.48,3.63,True
265,547.90,14.50,3.63,True
266,546.81,14.50,3.62,True
267,552.73,14.52,3.60,True
268,555.16,14.82,3.70,True
269,554.14,16.04,4.03,True
270,554.32,14.16,3.62,True
271,583.36,14.87,3.85,True
272,547.39,14.09,3.58,True
273,513.49,13.41,3.41,True
274,572.38,15.79,4.00,True
275,543.54,13.70,3.50,True
276,541.88,13.83,3.57,True
277,533.36,14.96,3.84,True
278,521.58,13.17,3.37,True
279,514.01,12.78,3.25,True
280,526.06,12.87,3.28,True
281,520.30,12.86,3.27,True
282,534.69,12.92,3.28,True
283,564.72,14.43,3.81,True
284,576.63,14.60,3.98,True
285,557.84,12.84,3.28,True
286,556.06,12.79,3.29,True
287,542.58,12.72,3.26,True
288,541.95,12.69,3.25,True
289,541.42,12.69,3.26,True
