iteration,eval_mode,f1,precision,recall,tp,fp,fn,tn,eval_samples,exclusions
1,clean_video_level,0.112994,0.243902,0.073529,10,31,126,1651,1818,31
2,clean_video_level,0.141414,1.000000,0.076087,7,0,85,1222,1314,31
