video,class,actual,predicted,confidence,frame,classification
Scenes 001-020__101B-1-_20230726152900590.mp4,Aligator Loki Plushie,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,Boastful Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,Classic Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,Kid Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,Loki's Armor,1.0,1,0.9501277804374695,99.0,TP
Scenes 001-020__101B-1-_20230726152900590.mp4,Loki's Variant uniform,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,Loki's dagger,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,Ravonna Renslayer's Uniform,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,Sylvie's Armor,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,Sylvie's horned headpiece,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,Sylvie's machete,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,TVA Collar,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,TVA Monitor,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,TVA Prisoner Uniform,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,TVA Uniform,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,TemPad,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,Time Stick,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,TimeSpear,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Aligator Loki Plushie,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Boastful Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Classic Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Kid Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Loki's Armor,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Loki's Variant uniform,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Loki's dagger,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Ravonna Renslayer's Uniform,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Sylvie's Armor,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Sylvie's horned headpiece,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Sylvie's machete,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,TVA Collar,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,TVA Monitor,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,TVA Prisoner Uniform,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,TVA Uniform,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,TemPad,1.0,1,0.8929556012153625,53.0,TP
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Time Stick,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,TimeSpear,0.0,0,0.0,,TN
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,Aligator Loki Plushie,0.0,0,0.0,,TN
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,Boastful Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,Classic Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,Kid Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,Loki's Armor,1.0,1,0.8415476083755493,43.0,TP
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,Loki's Variant uniform,0.0,0,0.0,,TN
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,Loki's dagger,0.0,0,0.0,,TN
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,Ravonna Renslayer's Uniform,0.0,0,0.0,,TN
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,Sylvie's Armor,0.0,0,0.0,,TN
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,Sylvie's horned headpiece,0.0,0,0.0,,TN
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,Sylvie's machete,0.0,0,0.0,,TN
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,TVA Collar,0.0,0,0.0,,TN
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,TVA Monitor,0.0,0,0.0,,TN
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,TVA Prisoner Uniform,0.0,0,0.0,,TN
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,TVA Uniform,0.0,0,0.0,,TN
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,TemPad,0.0,0,0.0,,TN
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,Time Stick,0.0,0,0.0,,TN
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,TimeSpear,0.0,0,0.0,,TN
Scenes 001-020__110A-1-_20230728125233251.mp4,Aligator Loki Plushie,0.0,0,0.0,,TN
Scenes 001-020__110A-1-_20230728125233251.mp4,Boastful Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__110A-1-_20230728125233251.mp4,Classic Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__110A-1-_20230728125233251.mp4,Kid Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__110A-1-_20230728125233251.mp4,Loki's Armor,0.0,0,0.0,,TN
Scenes 001-020__110A-1-_20230728125233251.mp4,Loki's Variant uniform,0.0,0,0.0,,TN
Scenes 001-020__110A-1-_20230728125233251.mp4,Loki's dagger,0.0,0,0.0,,TN
Scenes 001-020__110A-1-_20230728125233251.mp4,Ravonna Renslayer's Uniform,0.0,0,0.0,,TN
Scenes 001-020__110A-1-_20230728125233251.mp4,Sylvie's Armor,0.0,0,0.0,,TN
Scenes 001-020__110A-1-_20230728125233251.mp4,Sylvie's horned headpiece,0.0,0,0.0,,TN
Scenes 001-020__110A-1-_20230728125233251.mp4,Sylvie's machete,0.0,0,0.0,,TN
Scenes 001-020__110A-1-_20230728125233251.mp4,TVA Collar,1.0,1,0.9827060103416443,144.0,TP
Scenes 001-020__110A-1-_20230728125233251.mp4,TVA Monitor,1.0,1,0.9799545407295227,80.0,TP
Scenes 001-020__110A-1-_20230728125233251.mp4,TVA Prisoner Uniform,1.0,1,0.9661518931388855,57.0,TP
Scenes 001-020__110A-1-_20230728125233251.mp4,TVA Uniform,0.0,0,0.0,,TN
Scenes 001-020__110A-1-_20230728125233251.mp4,TemPad,0.0,0,0.0,,TN
Scenes 001-020__110A-1-_20230728125233251.mp4,Time Stick,0.0,0,0.0,,TN
Scenes 001-020__110A-1-_20230728125233251.mp4,TimeSpear,0.0,0,0.0,,TN
Scenes 001-020__110D-1- mos_20230728125258979.mp4,Aligator Loki Plushie,0.0,0,0.0,,TN
Scenes 001-020__110D-1- mos_20230728125258979.mp4,Boastful Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__110D-1- mos_20230728125258979.mp4,Classic Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__110D-1- mos_20230728125258979.mp4,Kid Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__110D-1- mos_20230728125258979.mp4,Loki's Armor,0.0,0,0.0,,TN
