iteration,eval_data_before_filtering,eval_data_after_filtering,samples_filtered_out,false_positives_found,new_exclusions_added,filtering_effectiveness
1,18328,18328,0,88,15,0.0%
2,18328,12433,5895,67,13,32.2%
