class,exclusion_count,percentage
not_Aligator Loki Plushie,2,7.14
not_Boastful Loki Armor,2,7.14
not_Loki's Armor,2,7.14
not_Loki's Variant uniform,2,7.14
not_Loki's dagger,2,7.14
not_Ravonna Renslayer's Uniform,2,7.14
not_Sylvie's horned headpiece,2,7.14
not_Sylvie's machete,2,7.14
not_TimeSpear,2,7.14
not_TVA Collar,2,7.14
not_TVA Prisoner Uniform,2,7.14
not_TemPad,2,7.14
not_Sylvie's Armor,1,3.57
not_TVA Monitor,1,3.57
not_Time Stick,1,3.57
not_Kid Loki Armor,1,3.57
