iteration,eval_mode,f1,precision,recall,tp,fp,fn,tn,eval_samples,exclusions
1,clean_video_level,0.506667,0.463415,0.558824,76,88,60,1594,1818,88
2,clean_video_level,0.331288,1.000000,0.198529,27,0,109,1682,1818,88
