timestamp,iteration,step,data_size,details
2025-05-30T16:45:53.529539,1,evaluation_data_before,18328,"{'columns': ['video', 'frame', 'owl_label', 'finetuned_embedding'], 'filename': 'iteration_1_evaluation_data_before.csv'}"
2025-05-30T16:45:53.676187,1,evaluation_data_after,18328,"{'exclusions_applied': 0, 'columns': ['video', 'frame', 'owl_label', 'finetuned_embedding'], 'filename': 'iteration_1_evaluation_data_after.csv'}"
2025-05-30T16:46:09.851503,1,false_positives_extracted,88,"{'filename': 'iteration_1_false_positives_extracted.csv', 'classes_with_fps': ['TemPad', ""Sylvie's machete"", 'TVA Prisoner Uniform', 'TimeSpear', 'Aligator Loki Plushie', ""Loki's Variant uniform"", 'TVA Collar', ""Ravonna Renslayer's Uniform"", ""Loki's Armor"", ""Sylvie's horned headpiece"", 'Time Stick', ""Loki's dagger"", 'Boastful Loki Armor', 'TVA Monitor', ""Sylvie's Armor""]}"
2025-05-30T16:46:09.912864,1,exclusions_added,88,"{'filename': 'iteration_1_exclusions_added.csv', 'classes_excluded': ['not_TemPad', ""not_Sylvie's machete"", 'not_TVA Prisoner Uniform', 'not_TimeSpear', 'not_Aligator Loki Plushie', ""not_Loki's Variant uniform"", 'not_TVA Collar', ""not_Ravonna Renslayer's Uniform"", ""not_Loki's Armor"", ""not_Sylvie's horned headpiece"", 'not_Time Stick', ""not_Loki's dagger"", 'not_Boastful Loki Armor', 'not_TVA Monitor', ""not_Sylvie's Armor""]}"
2025-05-30T16:46:10.059139,2,evaluation_data_before,18328,"{'columns': ['video', 'frame', 'owl_label', 'finetuned_embedding'], 'filename': 'iteration_2_evaluation_data_before.csv'}"
2025-05-30T16:46:10.168462,2,evaluation_data_after,2840,"{'exclusions_applied': 15488, 'columns': ['video', 'frame', 'owl_label', 'finetuned_embedding'], 'filename': 'iteration_2_evaluation_data_after.csv'}"
