iteration,eval_mode,f1,precision,recall,tp,fp,fn,tn,eval_samples,exclusions
1,clean_video_level,0.506667,0.463415,0.558824,76,88,60,1594,1818,28
2,clean_video_level,0.531250,0.531250,0.531250,51,45,45,1263,1404,48
