scene_id,start_frame,end_frame,start_time_sec,end_time_sec
1,0,49,0.000,2.042
2,49,71,2.042,2.958
3,71,108,2.958,4.500
4,108,127,4.500,5.292
5,127,155,5.292,6.458
6,155,173,6.458,7.208
7,173,200,7.208,8.333
8,200,219,8.333,9.125
