class,exclusion_count,percentage
not_TemPad,27,18.88
not_Sylvie's machete,26,18.18
not_TVA Prisoner Uniform,19,13.29
not_TimeSpear,14,9.79
not_Loki's Variant uniform,12,8.39
not_Aligator Loki Plushie,10,6.99
not_TVA Collar,9,6.29
not_Ravonna Renslayer's Uniform,6,4.2
not_Sylvie's horned headpiece,5,3.5
not_Loki's Armor,3,2.1
not_Time Stick,3,2.1
not_Loki's dagger,3,2.1
not_Boastful Loki Armor,2,1.4
not_TVA Monitor,2,1.4
not_Sylvie's Armor,2,1.4
