iteration,timestamp,f1_score,precision,recall,tp,fp,fn,tn,exclusions_added_this_iteration,training_data_size,evaluation_samples
1,2025-05-30T16:10:22.923213,0.5066666666666667,0.4634146341463415,0.5588235294117647,76,88,60,1594,15,107,1818
2,2025-05-30T16:10:39.296587,0.5063291139240507,0.47244094488188976,0.5454545454545454,60,67,50,1389,13,120,1566
