,apple_green,hammer_thor_upside_down,logo_apple,normal_hammer,red_apple,thor_hammer
apple_green,1.0,0.014217404,0.09991048,0.081731744,0.70916414,-0.022477275
hammer_thor_upside_down,0.014217404,1.0,0.14333658,0.09175594,0.037458584,0.26380005
logo_apple,0.09991048,0.14333658,1.0,0.03858541,0.07841255,0.0887989
normal_hammer,0.081731744,0.09175594,0.03858541,1.0,0.09077863,0.15890463
red_apple,0.70916414,0.037458584,0.07841255,0.09077863,0.99999994,-0.018598033
thor_hammer,-0.022477275,0.26380005,0.0887989,0.15890463,-0.018598033,1.0000001
