iteration,timestamp,f1_score,precision,recall,tp,fp,fn,tn,exclusions_added_this_iteration,training_data_size,evaluation_samples
1,2025-05-30T17:10:23.111792,0.11299435028248588,0.24390243902439024,0.07352941176470588,10,31,126,1651,31,94,1818
2,2025-05-30T17:10:36.521154,0.1414141414141414,1.0,0.07608695652173914,7,0,85,1222,0,94,1314
