iteration,timestamp,f1_score,precision,recall,tp,fp,fn,tn,exclusions_added_this_iteration,training_data_size,evaluation_samples
1,2025-05-30T17:01:58.307503,0.11299435028248588,0.24390243902439024,0.07352941176470588,10,31,126,1651,31,20,1818
2,2025-05-30T17:02:11.131919,0.020202020202020204,0.14285714285714285,0.010869565217391304,1,6,91,1216,6,20,1314
