iteration,timestamp,f1_score,precision,recall,tp,fp,fn,tn,exclusions_added_this_iteration,training_data_size,evaluation_samples
1,2025-05-29T17:55:47.051113,0.5066666666666667,0.4634146341463415,0.5588235294117647,76,88,60,1594,88,180,1818
2,2025-05-29T17:56:00.595037,0.3312883435582822,1.0,0.19852941176470587,27,0,109,1682,0,180,1818
