iteration,timestamp,f1_score,precision,recall,tp,fp,fn,tn,exclusions_added_this_iteration,training_data_size,evaluation_samples
1,2025-05-30T16:06:57.235827,0.5066666666666667,0.4634146341463415,0.5588235294117647,76,88,60,1594,28,120,1818
2,2025-05-30T16:07:12.480091,0.53125,0.53125,0.53125,51,45,45,1263,20,140,1404
