iteration,timestamp,f1_score,precision,recall,tp,fp,fn,tn,exclusions_added_this_iteration,training_data_size,evaluation_samples
1,2025-05-30T18:33:34.350496,0.5066666666666667,0.4634146341463415,0.5588235294117647,76,88,60,1594,88,180,1818
2,2025-05-30T18:33:47.184407,0.7105263157894737,1.0,0.5510204081632653,27,0,22,833,0,180,882
